1	Dashboard	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Home	Index	1	--SchemaZenNull--	1
2	Book Appointment	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	Create	2	--SchemaZenNull--	1
3	View Appointments	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	View	3	--SchemaZenNull--	1
4	View Employees	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Employee	View	4	--SchemaZenNull--	1
5	Add Employee	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Employee	Add	5	--SchemaZenNull--	1
7	Book Emergency Appointment	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	--SchemaZenNull--	--SchemaZenNull--	6	--SchemaZenNull--	1
8	Causal	7	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	CreateContractEmergency	2	--SchemaZenNull--	1
9	Employee	7	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	CreateEmergency	3	--SchemaZenNull--	1
10	View Schedule	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	View	1	--SchemaZenNull--	1
11	View History	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	HistoryList	2	--SchemaZenNull--	1
12	Upload Invoice	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Invoice	Upload	3	--SchemaZenNull--	1
13	All Booked Appointments	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	View	4	--SchemaZenNull--	1
14	All Completed Appointments	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	Appointment	ViewCompleted	4	--SchemaZenNull--	1
15	Admin Panel	--SchemaZenNull--	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	--SchemaZenNull--	--SchemaZenNull--	6	--SchemaZenNull--	1
16	User Creation	6	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	--SchemaZenNull--	--SchemaZenNull--	--SchemaZenNull--	--SchemaZenNull--	1
17	View and Update User	6	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	--SchemaZenNull--	--SchemaZenNull--	--SchemaZenNull--	--SchemaZenNull--	1
