1	TDCL-DHLE	DREAM HOUSE LFZ ENTERPRISE	--SchemaZenNull--
2	TDCL-EL	ESSILIBRA LIMITED	--SchemaZenNull--
3	TDCL-OELE	OPTIMERA ENERGY LFZ ENTERPRISE	--SchemaZenNull--
4	TDLC-5STAR	5 Star logistics Global Limited	--SchemaZenNull--
5	TDLC-AAALL	AAA LOGISTICS LIMITED	--SchemaZenNull--
6	TDLC-ALIL	AFRICAN LOGISTICS INVESTMENT LIMITED	--SchemaZenNull--
7	TDLC-ALLE	ALPHAGREY LEGACY LFZ ENTERPRISE	--SchemaZenNull--
8	TDLC-ALNL	AMG LOGISITICS NIGERIA  LIMITED	--SchemaZenNull--
9	TDLC-ALVA	ALVA TERMINALS LFTZ ENTERPRISE	--SchemaZenNull--
10	TDLC-APPUBA	AFRILAND  PROPERTIES PLC (UBA)	--SchemaZenNull--
11	TDLC-BALLE	BOLLORE TRANSPORT & LOGISTICS LFTZ ENTERPRISE	--SchemaZenNull--
12	TDLC-BASF	BASF OPERATIONS LFTZ ENTERPRISE	18
13	TDLC-BHN	MCPL-BHN Division	4
14	TDLC-BHNL	BAKER HUGHES NIG LTD	--SchemaZenNull--
15	TDLC-BSNL	BLUESTAR SHIPPING NIGERIA LIMITED	--SchemaZenNull--
16	TDLC-BWLE	BOSKALIS WESTMINSTER LFTZ ENTERPRISE	--SchemaZenNull--
17	TDLC-CHELE	CHINA HARBOUR ENGINEERING LFTZ ENTERPRISE	10
18	TDLC-CIG	CIG E-Home Co. LTD	--SchemaZenNull--
19	TDLC-CNC	CNC ENGINEERING LFTZ ENTERPRISE	17
20	TDLC-CSANL	Comet Shipping Agencies Nigeria Ltd	--SchemaZenNull--
21	TDLC-CTLE	COLGATE TOLARAM LFTZ ENTERPRISE	15
22	TDLC-DHL	DHL Global Forwarding Nigeria Limited	--SchemaZenNull--
23	TDLC-DNL	DAASOM NIGERIA LIMITED	--SchemaZenNull--
24	TDLC-DSL	Dimex Shipping Limited	--SchemaZenNull--
25	TDLC-EDLE	ENERGY DISTRIBUTION LFTZ ENTERPRISE	19
26	TDLC-ETDLL	ENIX TECHNOLOGIES DISTRIBUTION AND LOGISTICS LIMITED	--SchemaZenNull--
27	TDLC-FBNL	First Bank of Nigeria Limited	--SchemaZenNull--
28	TDLC-FCMB	First City Monument Bank	--SchemaZenNull--
29	TDLC-FGSLL	FORTUNE GLOBAL & SHIPPING LOGISTICS LIMITED	--SchemaZenNull--
30	TDLC-FMSNL	FIDEL MERCHANTILE SERVICES NIGERIA LIMITED	--SchemaZenNull--
31	TDLC-FOUR C	FOUR CORNER	--SchemaZenNull--
32	TDLC-FZULFTZ	FREE ZONE UTILITIES LFTZ ENTERPRISE	--SchemaZenNull--
33	TDLC-GIL	GOKESON INVESTMENT LIMITED	--SchemaZenNull--
34	TDLC-GLWAL	GLOBAL LOGISTICS WEST AFRICA LIMITED	--SchemaZenNull--
35	TDLC-GME	Garfield Marine Eng	--SchemaZenNull--
36	TDLC-GPLE	GREEN PACKAGINGS LFZ ENTERPRISE	--SchemaZenNull--
37	TDLC-GSSNL	G4S Security Services (Nigeria) Limited	--SchemaZenNull--
38	TDLC-HPIL	Hero-Plus International Limited	--SchemaZenNull--
39	TDLC-HSCL	Hover Shipping & Commercial Ltd	--SchemaZenNull--
40	TDLC-ICF	Imolede Chemicals FZE	--SchemaZenNull--
41	TDLC-ICNL	ICNL Logistics and Transport Services Limited	--SchemaZenNull--
42	TDLC-ILLE	Infinity Logistics LFZ Enterprise	--SchemaZenNull--
43	TDLC-INS	INSIGNIA PRINT TECHNOLOGY LFTZ ENTERPRISE	6
44	TDLC-ISSGFNL	ISS GLOBAL FORWARDING NIGERIA LTD	--SchemaZenNull--
45	TDLC-JLL	Juri Logistics Ltd	--SchemaZenNull--
46	TDLC-KB LML	KB LAMAH MOTORS LIMITED	--SchemaZenNull--
47	TDLC-KTLE	KT LFTZ ENTERPRISE	2
48	TDLC-LBGCT	LEKKI BULK AND GENERAL CARGO TERMINAL LFTZ ENTERPRISE	--SchemaZenNull--
49	TDLC-LFTLE	Lekki Free Port Terminal LFZ Enterprise	--SchemaZenNull--
50	TDLC-LICTSLE	LEKKI INT.CONTAINER TERMINAL SERV. LFTZ ENT.	--SchemaZenNull--
51	TDLC-LLE	LOGICHEM LFZ ENTERPRISE	--SchemaZenNull--
52	TDLC-LORIEN	LORIEN GLOBAL CO.LTD	--SchemaZenNull--
53	TDLC-LOUIS B	LOUIS BERGER	13
54	TDLC-LPLE	LEKKI PORT LFTZ ENTERPRISE	7
55	TDLC-LPLELTD	LEKKI PORT LFTZ ENTERPRISE LIMITED	--SchemaZenNull--
56	TDLC-LULE	LEKKI UTILITIES LFTZ ENTERPRISE	--SchemaZenNull--
57	TDLC-M&MTSL	M & M TECHNICAL SERVICES LIMITED	--SchemaZenNull--
58	TDLC-MCPL	MCPL- S&D Division	12
59	TDLC-MLE	TOLARAM AFRICA LFTZ ENTERPRISE	16
60	TDLC-MLSNL	MEDLOG LOGISTICS SERVICES NIGERIA LIMITED	--SchemaZenNull--
61	TDLC-MOCCNLE	MAIN ONE CABLE COMPANY NIGERIA  LFZ  ENTERPRISE	--SchemaZenNull--
62	TDLC-OP3L	One Port 365 Limited	--SchemaZenNull--
63	TDLC-PGSL	PETMOS GLOBAL SERVICES LIMITED	--SchemaZenNull--
64	TDLC-PNL	PRIMLAKS NIGERIA LIMITED	--SchemaZenNull--
65	TDLC-PROVIB	Providus Bank Plc	--SchemaZenNull--
66	TDLC-ROLE	RAFFLES OIL LFTZ ENTERPRISE	3
67	TDLC-SANA	SANA BUILDING SYSTEM	11
68	TDLC-SCINL	SINOMA CARGO INTERNATIONAL NIGERIA LIMITED	--SchemaZenNull--
69	TDLC-SELE	SOLYNTA ENERGY LFZ ENTERPRISE	21
70	TDLC-SGPLE	SANA GLOBAL PROJECTS LFZ ENTERPRISE	--SchemaZenNull--
71	TDLC-SSCL	Sifax Shipping Company Limited	--SchemaZenNull--
72	TDLC-SSL	Supermarine Services Limited	--SchemaZenNull--
73	TDLC-STANBIC	STANBIC IBTC BANK PLC	--SchemaZenNull--
74	TDLC-SUNDRY	SUNDRY DEBTORS ACCOUNT	--SchemaZenNull--
75	TDLC-TASAL	TRANS ATLANTIC SHIPPING AGENCY LIMITED	--SchemaZenNull--
76	TDLC-TEL	TELISOL LIMITED	--SchemaZenNull--
77	TDLC-TGF	TG ARLA DAIRY PRODUCTS LFTZ ENTERPRISE	5
78	TDLC-TMLE	TARKA MINERALS LFTZ ENTERPRISE	--SchemaZenNull--
79	TDLC-TOLE	TECHNO OIL LFTZ ENTERPRISE	--SchemaZenNull--
80	TDLC-VIVA	VIVA METHANOL LFTZ ENTERPRISE	--SchemaZenNull--
81	TDLC-ZCMCL	Zhen Chuang (Hong Kong) Construction & Manchinery Co.Ltd	--SchemaZenNull--
